+61700980,0.51
+34749512,0.27
+1423927,0.03
+861646266,0.61
+861877159,1.04
+1775507,0.03
+861414243,1.07
+4948024755,0.35
+1577830,0.07
+861303816,0.71
+34680905,0.40
+1410761,0.04
+64994521,0.64
+3353721,0.39
+34911297,0.48
+64967557,0.59
+446645717,0.48
+1358924,0.03
+1762343,0.08
+82472920,0.89
+34680770,0.41
+82561061,0.54
+1781414,0.07
+3315518,0.33
+1778328,0.09
+1256649,0.07
+61495858,0.80
+1847745,0.09
+1577205,0.08
+1254977,0.02
+1270479,0.03
+1628628,0.02
+1399473,0.08
+1707384,0.07
+1504255,0.09
+445007346,0.59
+61458859,0.76
+4977959533,0.39
+4977952014,0.38
+1823752,0.06
+61457127,0.48
+4945348248,0.56
+444602536,0.57
+861817053,0.72
+4982964547,0.51
+1604323,0.01
+3353673,0.43
+1493777,0.04
+4979448939,0.48
+3367681,0.39
+1916363,0.06
+1577246,0.08
+3333338,0.40
+3338780,0.27
+1596869,0.08
+3338735,0.22
+1442888,0.07
+34779673,0.28
+442655926,0.53
+8158302,0.64
+1545316,0.04
+3352727,0.37
+8157710,0.77
+3333364,0.43
+444603939,0.57
+61458146,0.80
+3358220,0.35
+3394514,0.22
+82402082,0.89
+82267426,1.05
+34778450,0.21
+61475604,0.58
+1577621,0.07
+34763610,0.43
+34651433,0.41
+34820204,0.25
+1628422,0.03
+82563139,0.83
+861413619,1.26
+8168467,0.94
+446649755,0.47
+1809545,0.05
+861792902,1.03
+82352554,0.69
+3325412,0.34
+1775792,0.03
+34689527,0.29
+82622992,1.06
+494295562,0.60
+861661311,0.61
+8144506,0.76
+8192209,0.77
+1597512,0.08
+61313101,0.62
+4911808778,0.45
+1782772,0.01
+34877376,0.39
+1361854,0.03
+3333378,0.47
+64620622,0.66
+82622118,1.04
+449194833,0.27
+861746823,1.03
+1916707,0.09
+1596809,0.09
+861555837,0.77
+64527494,0.74
+8199458,0.72
+34634922,0.41
+1851982,0.04
+1442781,0.09
+445692163,0.36
+492865773,0.44
+82274649,0.93
+8182403,0.91
+4962055399,0.44
+4925276976,0.37
+446693645,0.41
+1426239,0.04
+446946827,0.38
+861357306,0.82
+82565860,0.88
+64612920,0.49
+1309569,0.06
+1396830,0.03
+64691235,0.56
+4975576422,0.49
+82321022,0.80
+82291412,0.66
+34920486,0.43
+82326090,0.85
+861675223,0.56
+1526226,0.03
+82213523,0.80
+8129337,1.16
+1596786,0.08
+1783530,0.09
+34781260,0.34
+82527126,1.14
+64403930,0.40
+1311595,0.02
+3315762,0.33
+1969363,0.07
+446245822,0.48
+61244543,0.73
+8164521,0.84
+1847709,0.08
+4911801653,0.38
+8182186,0.76
+4968932693,0.57
+861668737,0.43
+449688568,0.24
+861871260,1.18
+64816644,0.64
+1678319,0.07
+4969534371,0.39
+1423661,0.02
+1698632,0.03
+1511283,0.03
+8140822,0.80
+8167564,0.49
+1396676,0.04
+3364161,0.40
+861303208,0.63
+82326051,1.00
+3330934,0.40
+1905440,0.08
+64335544,0.55
+3333386,0.44
+1547748,0.05
+34831555,0.40
+1456280,0.05
+1707461,0.06
+442653264,0.49
+3312833,0.25
+8128843,0.49
+82508323,0.92
+1395964,0.06
+64368760,0.87
+64620453,0.66
+861497938,0.83
+8167953,0.63
+61885423,0.83
+861382411,0.86
+1309665,0.05
+4962052471,0.41
+1628874,0.02
+8124141,0.68
+1426391,0.04
+61620273,0.71
+34812783,0.35
+8192365,0.62
+861492742,0.84
+444536826,0.54
+861679417,0.73
+3331817,0.37
+61830652,0.85
+34702538,0.41
+494295,0.56
+1916794,0.06
+444604066,0.54
+448053503,0.34
+3333582,0.39
+8140772,0.53
+34766341,0.41
+34820903,0.25
+498926839,0.68
+449686876,0.32
+34895452,0.43
+64888238,0.65
+61890526,0.65
+3344610,0.24
+8199578,0.70
+61276710,0.72
+861804441,0.77
+861749574,0.65
+443877904,0.25
+446945454,0.34
+8130454,0.76
+82562436,1.11
+1726959,0.09
+446623568,0.36
+861735982,0.99
+497944458,0.45
+3344631,0.22
+61620223,0.76
+1516433,0.05
+1350849,0.02
+3315531,0.31
+1659943,0.09
+446623046,0.30
+34702401,0.41
+1203717,0.05
+64547971,0.75
+82544858,1.05
+444532075,0.51
+34662368,0.35
+34602444,0.31
+34839371,0.32
+61835420,0.50
+8144874,0.89
+4944299254,0.48
+82378711,0.90
+4948027343,0.33
+64888633,0.72
+8164230,0.75
+61314356,0.58
+442503634,0.46
+1623744,0.07
+1708333,0.08
+446698363,0.29
+8123265,0.63
+446148975,0.55
+3312252,0.32
+4948026494,0.36
+61783,0.41
+3348881,0.38
+444285907,0.26
+861647102,0.42
+1720615,0.06
+861556706,0.94
+64335330,0.60
+446592019,0.57
+1350985,0.02
+3356635,0.26
+1242475,0.05
+8145223,0.80
+1493399,0.03
+861305792,0.80
+861872971,1.22
+4991082609,0.50
+861382930,1.12
+8175784,0.77
+4944294332,0.49
+861532042,1.06
+34697984,0.41
+82374399,1.05
+61244959,0.83
+34651330,0.42
+4991085357,0.43
+61313898,0.80
+64392919,0.71
+1969204,0.06
+34680574,0.24
+1526426,0.03
+1757475,0.03
+8157163,0.68
+3344697,0.33
+3352796,0.36
+64340609,0.65
+1775838,0.05
+61753333,0.41
+34697520,0.42
+3368423,0.43
+64348603,0.31
+8175619,1.03
+4977952431,0.38
+3366747,0.41
+61830183,0.85
+82562162,0.90
+3356678,0.29
+861612310,1.02
+496893259,0.46
+1366947,0.03
+446592244,0.31
+449195274,0.25
+82329835,0.97
+8164509,0.64
+1888882,0.08
+1479614,0.06
+3367630,0.38
+64947825,0.48
+4956908495,0.39
+861696620,1.11
+1270218,0.04
+496256548,0.56
+3388236,0.44
+34992139,0.34
+1271433,0.08
+1366673,0.04
+61849422,0.52
+3312878,0.31
+4991083325,0.41
+861386024,1.16
+4989261830,0.53
+64348421,0.31
+861875388,1.23
+445699330,0.36
+1203839,0.06
+64340195,0.47
+34634521,0.39
+3341624,0.28
+34689861,0.29
+34924938,0.32
+861883232,0.85
+1627376,0.06
+1628638,0.01
+64547876,0.81
+492501614,0.58
+449075455,0.33
+4945346204,0.64
+3334486,0.31
+4935173892,0.29
+861753432,0.51
+82546141,0.82
+861871729,0.72
+1464887,0.03
+64368397,0.91
+1256508,0.06
+861746287,0.98
+861612025,0.70
+1678523,0.07
+64547443,0.92
+64954972,0.76
+4948027933,0.46
+1799915,0.09
+61835577,0.66
+3388290,0.42
+1256942,0.05
+3394526,0.28
+8130729,0.85
+61656998,0.57
+3348812,0.44
+1809450,0.06
+82376322,1.14
+34831290,0.33
+1708849,0.06
